Date,Total Load [MW],Forecast Total Load [MW],Bidding Zone
31/12/2022 23:45:00,"22863,00","23615,00",Italy
31/12/2022 23:30:00,"23232,00","23907,00",Italy
31/12/2022 23:15:00,"23545,00","24131,00",Italy
31/12/2022 23:00:00,"23891,00","24363,00",Italy
31/12/2022 22:45:00,"24235,00","24558,00",Italy
31/12/2022 22:30:00,"24591,00","24811,00",Italy
31/12/2022 22:15:00,"24982,00","25087,00",Italy
31/12/2022 22:00:00,"25394,00","25415,00",Italy
31/12/2022 21:45:00,"25839,00","25799,00",Italy
31/12/2022 21:30:00,"26308,00","26315,00",Italy
31/12/2022 21:15:00,"26749,00","26903,00",Italy
31/12/2022 21:00:00,"27368,00","27602,00",Italy
31/12/2022 20:45:00,"28165,00","28312,00",Italy
31/12/2022 20:30:00,"28955,00","29091,00",Italy
31/12/2022 20:15:00,"29664,00","29762,00",Italy
31/12/2022 20:00:00,"30454,00","30433,00",Italy
31/12/2022 19:45:00,"31314,00","30990,00",Italy
31/12/2022 19:30:00,"31834,00","31437,00",Italy
31/12/2022 19:15:00,"32255,00","31697,00",Italy
31/12/2022 19:00:00,"32560,00","31840,00",Italy
31/12/2022 18:45:00,"32762,00","31905,00",Italy
31/12/2022 18:30:00,"32867,00","31933,00",Italy
31/12/2022 18:15:00,"33227,00","31981,00",Italy
31/12/2022 18:00:00,"33241,00","31947,00",Italy
31/12/2022 17:45:00,"33029,00","31755,00",Italy
31/12/2022 17:30:00,"32849,00","31430,00",Italy
31/12/2022 17:15:00,"32548,00","30886,00",Italy
31/12/2022 17:00:00,"31779,00","30205,00",Italy
31/12/2022 16:45:00,"30269,00","29477,00",Italy
31/12/2022 16:30:00,"29085,00","28869,00",Italy
31/12/2022 16:15:00,"28405,00","28491,00",Italy
31/12/2022 16:00:00,"28102,00","28294,00",Italy
31/12/2022 15:45:00,"27706,00","28219,00",Italy
31/12/2022 15:30:00,"27624,00","28203,00",Italy
31/12/2022 15:15:00,"27725,00","28216,00",Italy
31/12/2022 15:00:00,"27846,00","28225,00",Italy
31/12/2022 14:45:00,"27629,00","28123,00",Italy
31/12/2022 14:30:00,"27535,00","28121,00",Italy
31/12/2022 14:15:00,"27280,00","28155,00",Italy
31/12/2022 14:00:00,"27262,00","28310,00",Italy
31/12/2022 13:45:00,"26970,00","28388,00",Italy
31/12/2022 13:30:00,"27136,00","28630,00",Italy
31/12/2022 13:15:00,"27054,00","28717,00",Italy
31/12/2022 13:00:00,"27343,00","28875,00",Italy
31/12/2022 12:45:00,"27459,00","29032,00",Italy
31/12/2022 12:30:00,"27565,00","29091,00",Italy
