Date,Total Load [MW],Forecast Total Load [MW],Bidding Zone
30/06/2025 23:45:00,"39380,00","39989,00",Italy
30/06/2025 23:30:00,"40254,00","40959,00",Italy
30/06/2025 23:15:00,"41451,00","41808,00",Italy
30/06/2025 23:00:00,"42388,00","42586,00",Italy
30/06/2025 22:45:00,"43311,00","43687,00",Italy
30/06/2025 22:30:00,"44483,00","44660,00",Italy
30/06/2025 22:15:00,"45144,00","44955,00",Italy
30/06/2025 22:00:00,"45685,00","45735,00",Italy
30/06/2025 21:45:00,"46947,00","46629,00",Italy
30/06/2025 21:30:00,"48023,00","47292,00",Italy
30/06/2025 21:15:00,"48325,00","47447,00",Italy
30/06/2025 21:00:00,"48646,00","47977,00",Italy
30/06/2025 20:45:00,"48747,00","48080,00",Italy
30/06/2025 20:30:00,"48894,00","48283,00",Italy
30/06/2025 20:15:00,"48895,00","48500,00",Italy
30/06/2025 20:00:00,"50059,00","48877,00",Italy
30/06/2025 19:45:00,"50805,00","49508,00",Italy
30/06/2025 19:30:00,"50956,00","49756,00",Italy
30/06/2025 19:15:00,"51283,00","50031,00",Italy
30/06/2025 19:00:00,"51465,00","50391,00",Italy
30/06/2025 18:45:00,"52301,00","50731,00",Italy
30/06/2025 18:30:00,"52350,00","51088,00",Italy
30/06/2025 18:15:00,"51997,00","51348,00",Italy
30/06/2025 18:00:00,"52727,00","51636,00",Italy
30/06/2025 17:45:00,"53009,00","52338,00",Italy
30/06/2025 17:30:00,"54080,00","52996,00",Italy
30/06/2025 17:15:00,"54459,00","53630,00",Italy
30/06/2025 17:00:00,"53972,00","53685,00",Italy
30/06/2025 16:45:00,"54950,00","54335,00",Italy
30/06/2025 16:30:00,"54959,00","54520,00",Italy
30/06/2025 16:15:00,"55217,00","54666,00",Italy
30/06/2025 16:00:00,"55173,00","54639,00",Italy
30/06/2025 15:45:00,"55288,00","54254,00",Italy
30/06/2025 15:30:00,"55413,00","54522,00",Italy
30/06/2025 15:15:00,"55542,00","54743,00",Italy
30/06/2025 15:00:00,"55472,00","54803,00",Italy
30/06/2025 14:45:00,"55383,00","54778,00",Italy
30/06/2025 14:30:00,"55496,00","54907,00",Italy
30/06/2025 14:15:00,"55349,00","55010,00",Italy
30/06/2025 14:00:00,"55149,00","54929,00",Italy
30/06/2025 13:45:00,"54704,00","54472,00",Italy
30/06/2025 13:30:00,"54652,00","54386,00",Italy
30/06/2025 13:15:00,"54363,00","54027,00",Italy
30/06/2025 13:00:00,"54410,00","53876,00",Italy
30/06/2025 12:45:00,"53947,00","53543,00",Italy
30/06/2025 12:30:00,"53884,00","53217,00",Italy
30/06/2025 12:15:00,"53675,00","53134,00",Italy
30/06/2025 12:00:00,"53574,00","53196,00",Italy
30/06/2025 11:45:00,"54199,00","53596,00",Italy
30/06/2025 11:30:00,"54305,00","53414,00",Italy
30/06/2025 11:15:00,"53940,00","53319,00",Italy
30/06/2025 11:00:00,"53801,00","52822,00",Italy
30/06/2025 10:45:00,"53517,00","52626,00",Italy
30/06/2025 10:30:00,"53319,00","52351,00",Italy
30/06/2025 10:15:00,"52968,00","52054,00",Italy
30/06/2025 10:00:00,"52556,00","51706,00",Italy
30/06/2025 09:45:00,"52235,00","51817,00",Italy
30/06/2025 09:30:00,"51977,00","51381,00",Italy
30/06/2025 09:15:00,"51386,00","50900,00",Italy
30/06/2025 09:00:00,"50466,00","50091,00",Italy
30/06/2025 08:45:00,"49213,00","48866,00",Italy
30/06/2025 08:30:00,"48695,00","48133,00",Italy
30/06/2025 08:15:00,"47527,00","47255,00",Italy
30/06/2025 08:00:00,"45954,00","45578,00",Italy
30/06/2025 07:45:00,"43724,00","43008,00",Italy
30/06/2025 07:30:00,"42399,00","41675,00",Italy
30/06/2025 07:15:00,"40999,00","40240,00",Italy
30/06/2025 07:00:00,"39219,00","38530,00",Italy
30/06/2025 06:45:00,"37170,00","36644,00",Italy
30/06/2025 06:30:00,"36000,00","35462,00",Italy
30/06/2025 06:15:00,"34866,00","34481,00",Italy
30/06/2025 06:00:00,"33391,00","33107,00",Italy
