Date,Total Load [MW],Forecast Total Load [MW],Bidding Zone
31/12/2024 23:45:00,"25530,00","26123,00",Italy
31/12/2024 23:30:00,"25973,00","26757,00",Italy
31/12/2024 23:15:00,"26369,00","27289,00",Italy
31/12/2024 23:00:00,"26793,00","27825,00",Italy
31/12/2024 22:45:00,"27266,00","28371,00",Italy
31/12/2024 22:30:00,"27748,00","28902,00",Italy
31/12/2024 22:15:00,"28132,00","29371,00",Italy
31/12/2024 22:00:00,"28527,00","29869,00",Italy
31/12/2024 21:45:00,"28990,00","30370,00",Italy
31/12/2024 21:30:00,"29412,00","30872,00",Italy
31/12/2024 21:15:00,"29845,00","31410,00",Italy
31/12/2024 21:00:00,"30517,00","32085,00",Italy
31/12/2024 20:45:00,"31235,00","32792,00",Italy
31/12/2024 20:30:00,"31938,00","33450,00",Italy
31/12/2024 20:15:00,"32714,00","34134,00",Italy
31/12/2024 20:00:00,"33576,00","34782,00",Italy
31/12/2024 19:45:00,"34280,00","35277,00",Italy
31/12/2024 19:30:00,"34831,00","35704,00",Italy
31/12/2024 19:15:00,"35261,00","35992,00",Italy
31/12/2024 19:00:00,"35582,00","36170,00",Italy
31/12/2024 18:45:00,"35874,00","36242,00",Italy
31/12/2024 18:30:00,"35929,00","36233,00",Italy
31/12/2024 18:15:00,"36005,00","36151,00",Italy
31/12/2024 18:00:00,"36057,00","35982,00",Italy
31/12/2024 17:45:00,"36182,00","35667,00",Italy
31/12/2024 17:30:00,"36004,00","35171,00",Italy
31/12/2024 17:15:00,"35712,00","34464,00",Italy
31/12/2024 17:00:00,"34952,00","33606,00",Italy
31/12/2024 16:45:00,"33638,00","32767,00",Italy
31/12/2024 16:30:00,"32617,00","32003,00",Italy
31/12/2024 16:15:00,"32192,00","31559,00",Italy
31/12/2024 16:00:00,"31903,00","31256,00",Italy
31/12/2024 15:45:00,"31404,00","31040,00",Italy
31/12/2024 15:30:00,"31289,00","30955,00",Italy
31/12/2024 15:15:00,"31305,00","30985,00",Italy
31/12/2024 15:00:00,"31397,00","31029,00",Italy
31/12/2024 14:45:00,"31456,00","31086,00",Italy
31/12/2024 14:30:00,"31587,00","31239,00",Italy
31/12/2024 14:15:00,"31409,00","31389,00",Italy
31/12/2024 14:00:00,"31524,00","31692,00",Italy
31/12/2024 13:45:00,"32087,00","32155,00",Italy
31/12/2024 13:30:00,"32621,00","32653,00",Italy
31/12/2024 13:15:00,"32834,00","33069,00",Italy
31/12/2024 13:00:00,"33288,00","33481,00",Italy
31/12/2024 12:45:00,"33606,00","33797,00",Italy
31/12/2024 12:30:00,"33772,00","34061,00",Italy
31/12/2024 12:15:00,"34010,00","34264,00",Italy
31/12/2024 12:00:00,"34243,00","34460,00",Italy
31/12/2024 11:45:00,"34357,00","34583,00",Italy
31/12/2024 11:30:00,"34573,00","34743,00",Italy
31/12/2024 11:15:00,"34663,00","34837,00",Italy
31/12/2024 11:00:00,"34631,00","34859,00",Italy
31/12/2024 10:45:00,"34393,00","34760,00",Italy
31/12/2024 10:30:00,"34463,00","34831,00",Italy
31/12/2024 10:15:00,"34385,00","34826,00",Italy
31/12/2024 10:00:00,"34473,00","34890,00",Italy
31/12/2024 09:45:00,"34429,00","34842,00",Italy
31/12/2024 09:30:00,"34383,00","34678,00",Italy
31/12/2024 09:15:00,"34114,00","34288,00",Italy
31/12/2024 09:00:00,"33678,00","33796,00",Italy
31/12/2024 08:45:00,"32988,00","33141,00",Italy
31/12/2024 08:30:00,"32258,00","32408,00",Italy
31/12/2024 08:15:00,"31670,00","31659,00",Italy
31/12/2024 08:00:00,"30835,00","30831,00",Italy
31/12/2024 07:45:00,"29713,00","29926,00",Italy
31/12/2024 07:30:00,"29079,00","29107,00",Italy
31/12/2024 07:15:00,"28326,00","28274,00",Italy
31/12/2024 07:00:00,"27634,00","27448,00",Italy
31/12/2024 06:45:00,"26501,00","26582,00",Italy
31/12/2024 06:30:00,"25675,00","25748,00",Italy
31/12/2024 06:15:00,"25010,00","24982,00",Italy
31/12/2024 06:00:00,"24204,00","24198,00",Italy
31/12/2024 05:45:00,"23076,00","23496,00",Italy
31/12/2024 05:30:00,"22571,00","22934,00",Italy
31/12/2024 05:15:00,"22131,00","22451,00",Italy
31/12/2024 05:00:00,"21766,00","22040,00",Italy
31/12/2024 04:45:00,"21208,00","21699,00",Italy
31/12/2024 04:30:00,"21050,00","21463,00",Italy
31/12/2024 04:15:00,"20906,00","21311,00",Italy
31/12/2024 04:00:00,"20842,00","21225,00",Italy
31/12/2024 03:45:00,"20689,00","21177,00",Italy
31/12/2024 03:30:00,"20699,00","21185,00",Italy
31/12/2024 03:15:00,"20768,00","21231,00",Italy
31/12/2024 03:00:00,"20906,00","21337,00",Italy
31/12/2024 02:45:00,"20937,00","21421,00",Italy
31/12/2024 02:30:00,"21068,00","21550,00",Italy
31/12/2024 02:15:00,"21214,00","21702,00",Italy
31/12/2024 02:00:00,"21426,00","21909,00",Italy
31/12/2024 01:45:00,"21660,00","22155,00",Italy
31/12/2024 01:30:00,"21972,00","22475,00",Italy
31/12/2024 01:15:00,"22303,00","22845,00",Italy
31/12/2024 01:00:00,"22832,00","23345,00",Italy
31/12/2024 00:45:00,"23361,00","23889,00",Italy
31/12/2024 00:30:00,"23993,00","24423,00",Italy
31/12/2024 00:15:00,"24473,00","24954,00",Italy
31/12/2024 00:00:00,"24850,00","25771,00",Italy
30/12/2024 23:45:00,"25206,00","25905,00",Italy
30/12/2024 23:30:00,"25934,00","26552,00",Italy
30/12/2024 23:15:00,"26658,00","27224,00",Italy
30/12/2024 23:00:00,"27381,00","27998,00",Italy
30/12/2024 22:45:00,"28006,00","28615,00",Italy
30/12/2024 22:30:00,"28724,00","29376,00",Italy
30/12/2024 22:15:00,"29539,00","30158,00",Italy
30/12/2024 22:00:00,"30255,00","30916,00",Italy
30/12/2024 21:45:00,"31124,00","31585,00",Italy
30/12/2024 21:30:00,"31825,00","32356,00",Italy
30/12/2024 21:15:00,"32380,00","33015,00",Italy
30/12/2024 21:00:00,"33086,00","33682,00",Italy
30/12/2024 20:45:00,"33915,00","34357,00",Italy
30/12/2024 20:30:00,"34449,00","35119,00",Italy
30/12/2024 20:15:00,"35012,00","35944,00",Italy
30/12/2024 20:00:00,"35579,00","36832,00",Italy
30/12/2024 19:45:00,"36200,00","37623,00",Italy
30/12/2024 19:30:00,"36609,00","38147,00",Italy
30/12/2024 19:15:00,"36844,00","38356,00",Italy
30/12/2024 19:00:00,"36954,00","38379,00",Italy
30/12/2024 18:45:00,"36962,00","38254,00",Italy
30/12/2024 18:30:00,"36803,00","38117,00",Italy
30/12/2024 18:15:00,"36680,00","38085,00",Italy
30/12/2024 18:00:00,"36665,00","38088,00",Italy
30/12/2024 17:45:00,"36699,00","38026,00",Italy
30/12/2024 17:30:00,"36602,00","37754,00",Italy
30/12/2024 17:15:00,"36490,00","37267,00",Italy
30/12/2024 17:00:00,"36023,00","36552,00",Italy
30/12/2024 16:45:00,"34863,00","35785,00",Italy
30/12/2024 16:30:00,"33917,00","35058,00",Italy
30/12/2024 16:15:00,"33534,00","34561,00",Italy
30/12/2024 16:00:00,"33291,00","34152,00",Italy
30/12/2024 15:45:00,"32972,00","33865,00",Italy
30/12/2024 15:30:00,"32900,00","33688,00",Italy
30/12/2024 15:15:00,"32919,00","33585,00",Italy
30/12/2024 15:00:00,"33053,00","33565,00",Italy
30/12/2024 14:45:00,"33231,00","33623,00",Italy
30/12/2024 14:30:00,"33377,00","33650,00",Italy
30/12/2024 14:15:00,"33225,00","33767,00",Italy
30/12/2024 14:00:00,"33433,00","34040,00",Italy
30/12/2024 13:45:00,"33861,00","34422,00",Italy
30/12/2024 13:30:00,"34375,00","34825,00",Italy
30/12/2024 13:15:00,"34598,00","35135,00",Italy
30/12/2024 13:00:00,"34937,00","35415,00",Italy
30/12/2024 12:45:00,"35349,00","35648,00",Italy
30/12/2024 12:30:00,"35549,00","35926,00",Italy
30/12/2024 12:15:00,"35764,00","36195,00",Italy
30/12/2024 12:00:00,"36083,00","36562,00",Italy
30/12/2024 11:45:00,"36411,00","36956,00",Italy
30/12/2024 11:30:00,"36513,00","37198,00",Italy
